n_agents,movement_saturation,relative_leader_influence,conversion_rate,run_id,aggregation_method,signal_representation
50,85,50,0.42857142857142855,7,sum-linear,binary
50,85,50,0.5714285714285714,8,sum-linear,binary
50,85,50,0.7142857142857143,9,sum-linear,binary
50,85,50,0.7142857142857143,10,sum-linear,binary
50,90,50,1,1,sum-linear,binary
50,90,50,0.6,2,sum-linear,binary
50,90,50,0.6,3,sum-linear,binary
50,90,50,0.8,4,sum-linear,binary
50,90,50,0.6,5,sum-linear,binary
50,90,50,1,6,sum-linear,binary
50,90,50,0.8,7,sum-linear,binary
50,90,50,0.4,8,sum-linear,binary
50,90,50,1,9,sum-linear,binary
50,90,50,0.6,10,sum-linear,binary
50,95,50,0.5,1,sum-linear,binary
50,95,50,1,2,sum-linear,binary
50,95,50,0.5,3,sum-linear,binary
50,95,50,1,4,sum-linear,binary
50,95,50,1,5,sum-linear,binary
50,95,50,1,6,sum-linear,binary
50,95,50,1,7,sum-linear,binary
50,95,50,0.5,8,sum-linear,binary
50,95,50,0.5,9,sum-linear,binary
50,95,50,1,10,sum-linear,binary
50,5,50,0.02127659574468085,1,product,binary
50,5,50,0,2,product,binary
50,5,50,0.02127659574468085,3,product,binary
50,5,50,0.06382978723404255,4,product,binary
50,5,50,0,5,product,binary
50,5,50,0.0425531914893617,6,product,binary
50,5,50,0.02127659574468085,7,product,binary
50,5,50,0.02127659574468085,8,product,binary
50,5,50,0.0425531914893617,9,product,binary
50,5,50,0.02127659574468085,10,product,binary
50,10,50,0,1,product,binary
50,10,50,0.022222222222222223,2,product,binary
50,10,50,0.044444444444444446,3,product,binary
50,10,50,0.022222222222222223,4,product,binary
50,10,50,0.06666666666666667,5,product,binary
50,10,50,0.044444444444444446,6,product,binary
50,10,50,0.022222222222222223,7,product,binary
50,10,50,0.06666666666666667,8,product,binary
50,10,50,0.06666666666666667,9,product,binary
50,10,50,0.06666666666666667,10,product,binary
50,15,50,0.19047619047619047,1,product,binary
50,15,50,0.09523809523809523,2,product,binary
50,15,50,0.047619047619047616,3,product,binary
50,15,50,0.023809523809523808,4,product,binary
50,15,50,0.047619047619047616,5,product,binary
50,15,50,0.023809523809523808,6,product,binary
50,15,50,0.07142857142857142,7,product,binary
50,15,50,0.07142857142857142,8,product,binary
50,15,50,0.11904761904761904,9,product,binary
50,15,50,0.047619047619047616,10,product,binary
50,20,50,0.075,1,product,binary
50,20,50,0.15,2,product,binary
50,20,50,0.075,3,product,binary
50,20,50,0.075,4,product,binary
50,20,50,0.125,5,product,binary
50,20,50,0.05,6,product,binary
50,20,50,0.175,7,product,binary
50,20,50,0.1,8,product,binary
50,20,50,0.1,9,product,binary
50,20,50,0.05,10,product,binary
50,25,50,0.05405405405405406,1,product,binary
50,25,50,0.05405405405405406,2,product,binary
50,25,50,0.08108108108108109,3,product,binary
50,25,50,0,4,product,binary
50,25,50,0.13513513513513514,5,product,binary
50,25,50,0.02702702702702703,6,product,binary
50,25,50,0.08108108108108109,7,product,binary
50,25,50,0,8,product,binary
50,25,50,0.10810810810810811,9,product,binary
50,25,50,0.08108108108108109,10,product,binary
50,30,50,0.2,1,product,binary
50,30,50,0.02857142857142857,2,product,binary
50,30,50,0.22857142857142856,3,product,binary
50,30,50,0.11428571428571428,4,product,binary
50,30,50,0.11428571428571428,5,product,binary
